fid,COUNTRY,ISO_CC,CONTINENT,LAND_TYPE,LAND_RANK,COUNTRYAFF,ID,Continent_2,region,country_2,isoCode,sids,ots,name_descriptor,year_publication,scale_(EAA),oceanAccountComponent,OA_component,environmentalAssets,flowsToEconomy,oceanEconomy,flowsToEnvironment,governance,Compiling_SEEA_CF,Compiling_SEEA_EA,EcosystemExtent,EcosystemCondition,EcosystemServices,MonetaryAccounts,SatelliteAccount,OceanEconomyActivities,SectorSpecific,OESA,BlueEconomy,OceanTourismSatelliteAccount,Links,Links_2,Links_3,OA_components,OA_components_abb,OA_combination_reclass,OA_Count,OA_Count_disagg
102,Canada,CAN,North America,Small island,2,Canada,61,America,North America,Canada,CAN,FALSE,FALSE,"Canadian System of Environmental-Economic Accounting,Marine sectors in Canada","2023 and ongoing,2020",National,"Environmental-Economic,Ocean economic activity","Environmental assets and flows to economy,Ocean Economy",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes,",TRUE,"yes,","Yes,",FALSE,TRUE,TRUE,FALSE,,,FALSE,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810015301,https://www.dfo-mpo.gc.ca/stats/maritime-eng.htm","https://www150.statcan.gc.ca/n1/pub/16-509-x/16-509-x2016001-eng.htm,https://www.dfo-mpo.gc.ca/stats/mar-method-eng.htm","https://www150.statcan.gc.ca/n1/pub/16-201-x/16-201-x2021001-eng.htm,",EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
103,Canarias,ESP,Africa,Small island,2,Spain,54,Europe,,Spain,ESP,FALSE,FALSE,Natural capital accounting pilot study in a protected marine area in the Balearic islands,2021,Local,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,partially,Yes,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://marilles.org/storage/media/2021/10/917/deliverable-ii-natural-capital-accounting-pilot-study-in-balearic-islands-mpa.pdf,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
104,Canarias,ESP,Africa,Medium island,3,Spain,54,Europe,,Spain,ESP,FALSE,FALSE,Natural capital accounting pilot study in a protected marine area in the Balearic islands,2021,Local,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,partially,Yes,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://marilles.org/storage/media/2021/10/917/deliverable-ii-natural-capital-accounting-pilot-study-in-balearic-islands-mpa.pdf,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
105,Canarias,ESP,Africa,Very small island,1,Spain,54,Europe,,Spain,ESP,FALSE,FALSE,Natural capital accounting pilot study in a protected marine area in the Balearic islands,2021,Local,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,partially,Yes,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://marilles.org/storage/media/2021/10/917/deliverable-ii-natural-capital-accounting-pilot-study-in-balearic-islands-mpa.pdf,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
106,Cayman Islands,CYM,North America,Small island,2,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
107,Cayman Islands,CYM,North America,Very small island,1,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
108,Central African Republic,CAF,Africa,Primary land,5,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
109,Chad,TCD,Africa,Primary land,5,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
110,Chile,CHL,South America,Medium island,3,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
111,Chile,CHL,South America,Primary land,5,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
112,Chile,CHL,South America,Small island,2,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
113,Chile,CHL,South America,Very small island,1,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
114,China,CHN,Asia,Primary land,5,China,33,Asia,,China,CHN,FALSE,FALSE,"Mangrove Assets and Ecosystem Services in Beihai, Guangxi",2018,Local,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,,Yes,FALSE,FALSE,FALSE,FALSE,,,FALSE,https://www.unescap.org/sites/default/d8files/2022-06/Ocean_Accounts_China.pdf,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
115,China,CHN,Asia,Small island,2,China,33,Asia,,China,CHN,FALSE,FALSE,"Mangrove Assets and Ecosystem Services in Beihai, Guangxi",2018,Local,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,,Yes,FALSE,FALSE,FALSE,FALSE,,,FALSE,https://www.unescap.org/sites/default/d8files/2022-06/Ocean_Accounts_China.pdf,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
116,China,CHN,Asia,Very small island,1,China,33,Asia,,China,CHN,FALSE,FALSE,"Mangrove Assets and Ecosystem Services in Beihai, Guangxi",2018,Local,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,,Yes,FALSE,FALSE,FALSE,FALSE,,,FALSE,https://www.unescap.org/sites/default/d8files/2022-06/Ocean_Accounts_China.pdf,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
117,China,CHN,Asia,Medium island,3,China,33,Asia,,China,CHN,FALSE,FALSE,"Mangrove Assets and Ecosystem Services in Beihai, Guangxi",2018,Local,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,,Yes,FALSE,FALSE,FALSE,FALSE,,,FALSE,https://www.unescap.org/sites/default/d8files/2022-06/Ocean_Accounts_China.pdf,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
118,Christmas Island,CXR,Asia,Small island,2,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
119,Clipperton,FRA,North America,Small island,2,France,91,Europe,,France,FRA,FALSE,FALSE,"Maritime economy - Activities with high added value and qualified jobs,Experimentation of marine ecosystems biophysical extent and condition accounts in France","20,152,023",National,"Ocean economic activity,Environmental-Economic","Ocean economy,Environmental assets",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,",Yes",TRUE,",Yes - related to MSFD",,FALSE,FALSE,TRUE,FALSE,,,FALSE,"https://www.insee.fr/fr/statistiques/4219557,https://www.chaire-comptabilite-ecologique.fr/Working-Paper-Experimentation-of-marine-ecosystems-biophysical-extent-and-331?lang=fr",",https://maiaportal.eu/factsheets",,EnvironmentalAssets + OceanEconomy,EA + OEcon,"Environmental-Economic, Ocean Economy",2,2
120,Cocos Islands,CCK,Asia,Very small island,1,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
121,Cocos Islands,CCK,Asia,Small island,2,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
122,Colombia,COL,South America,Small island,2,Colombia,17,America,Latin America,Colombia,COL,FALSE,FALSE,"Accounting of marine and coastal ecosystems at the Ramsar Site, Estuarine Delta System of the Magdalena River, Ciénaga Grande de Santa Marta, Colombia",2023,Local,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,Yes,Physical and monetary flow,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://oneecosystem.pensoft.net/article/98852/,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
123,Colombia,COL,South America,Very small island,1,Colombia,17,America,Latin America,Colombia,COL,FALSE,FALSE,"Accounting of marine and coastal ecosystems at the Ramsar Site, Estuarine Delta System of the Magdalena River, Ciénaga Grande de Santa Marta, Colombia",2023,Local,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,Yes,Physical and monetary flow,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://oneecosystem.pensoft.net/article/98852/,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
124,Colombia,COL,South America,Primary land,5,Colombia,17,America,Latin America,Colombia,COL,FALSE,FALSE,"Accounting of marine and coastal ecosystems at the Ramsar Site, Estuarine Delta System of the Magdalena River, Ciénaga Grande de Santa Marta, Colombia",2023,Local,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,Yes,Physical and monetary flow,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://oneecosystem.pensoft.net/article/98852/,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
125,Comoros,COM,Africa,Very small island,1,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
126,Comoros,COM,Africa,Small island,2,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
127,Comoros,COM,Africa,Medium island,3,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
128,Congo,COG,Africa,Very small island,1,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
129,Congo,COG,Africa,Primary land,5,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
130,Congo,COG,Africa,Small island,2,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
131,Congo DRC,COD,Africa,Primary land,5,"Congo, The Democratic Republic of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
132,Congo DRC,COD,Africa,Very small island,1,"Congo, The Democratic Republic of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
133,Congo DRC,COD,Africa,Small island,2,"Congo, The Democratic Republic of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
134,Cook Islands,COK,Oceania,Small island,2,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
135,Cook Islands,COK,Oceania,Very small island,1,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
136,Costa Rica,CRI,North America,Small island,2,Costa Rica,18,America,Latin America,Costa Rica,CRI,FALSE,FALSE,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,,,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,,EnvironmentalAssets,EA,Environmental-Economic,1,1
137,Costa Rica,CRI,North America,Primary land,5,Costa Rica,18,America,Latin America,Costa Rica,CRI,FALSE,FALSE,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,,,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,,EnvironmentalAssets,EA,Environmental-Economic,1,1
138,Costa Rica,CRI,North America,Very small island,1,Costa Rica,18,America,Latin America,Costa Rica,CRI,FALSE,FALSE,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,,,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,,EnvironmentalAssets,EA,Environmental-Economic,1,1
139,Côte d'Ivoire,CIV,Africa,Small island,2,Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
140,Côte d'Ivoire,CIV,Africa,Primary land,5,Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
141,Côte d'Ivoire,CIV,Africa,Very small island,1,Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
142,Croatia,HRV,Europe,Small island,2,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
143,Croatia,HRV,Europe,Very small island,1,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
144,Croatia,HRV,Europe,Medium island,3,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
145,Croatia,HRV,Europe,Primary land,5,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
146,Cuba,CUB,North America,Medium island,3,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
147,Cuba,CUB,North America,Small island,2,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
148,Cuba,CUB,North America,Primary land,5,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
149,Cuba,CUB,North America,Very small island,1,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
150,Curacao,CUW,South America,Small island,2,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
151,Curacao,CUW,South America,Very small island,1,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
152,Cyprus,CYP,Asia,Primary land,5,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
153,Cyprus,CYP,Asia,Very small island,1,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
154,Czech Republic,CZE,Europe,Primary land,5,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
155,Denmark,DNK,Europe,Very small island,1,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
156,Denmark,DNK,Europe,Small island,2,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
157,Denmark,DNK,Europe,Medium island,3,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
158,Denmark,DNK,Europe,Primary land,5,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
159,Djibouti,DJI,Africa,Primary land,5,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
160,Djibouti,DJI,Africa,Very small island,1,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
161,Djibouti,DJI,Africa,Small island,2,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
162,Dominica,DMA,North America,Primary land,5,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
163,Dominican Republic,DOM,North America,Very small island,1,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
164,Dominican Republic,DOM,North America,Small island,2,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
165,Dominican Republic,DOM,North America,Primary land,5,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
166,Ecuador,ECU,South America,Primary land,5,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
167,Ecuador,ECU,South America,Very small island,1,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
168,Ecuador,ECU,South America,Medium island,3,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
169,Ecuador,ECU,South America,Small island,2,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
170,Egypt,EGY,Africa,Primary land,5,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
171,Egypt,EGY,Africa,Small island,2,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
172,Egypt,EGY,Africa,Very small island,1,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
173,El Salvador,SLV,North America,Primary land,5,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
174,El Salvador,SLV,North America,Small island,2,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
175,El Salvador,SLV,North America,Very small island,1,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
176,Equatorial Guinea,GNQ,Africa,Primary land,5,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
177,Equatorial Guinea,GNQ,Africa,Small island,2,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
178,Equatorial Guinea,GNQ,Africa,Very small island,1,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
179,Eritrea,ERI,Africa,Medium island,3,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
180,Eritrea,ERI,Africa,Primary land,5,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
181,Eritrea,ERI,Africa,Very small island,1,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
182,Eritrea,ERI,Africa,Small island,2,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
183,Estonia,EST,Europe,Primary land,5,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
184,Estonia,EST,Europe,Medium island,3,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
185,Estonia,EST,Europe,Small island,2,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
186,Estonia,EST,Europe,Very small island,1,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
187,Eswatini,SWZ,Africa,Primary land,5,Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
188,Ethiopia,ETH,Africa,Primary land,5,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
189,Falkland Islands,FLK,South America,Very small island,1,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
190,Falkland Islands,FLK,South America,Medium island,3,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
191,Falkland Islands,FLK,South America,Small island,2,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
192,Faroe Islands,FRO,Europe,Very small island,1,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
193,Faroe Islands,FRO,Europe,Small island,2,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
194,Faroe Islands,FRO,Europe,Medium island,3,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
195,Fiji,FJI,Oceania,Medium island,3,Fiji,61,Oceania,,Fiji,FJI,TRUE,FALSE,,,National,Environmental-Economic,Environmental assets and flows to economy; Ocean economy,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,TRUE,Yes,,TRUE,FALSE,TRUE,FALSE,,,FALSE,https://oceanaccounts.atlassian.net/wiki/spaces/WD/pages/939655169/Ocean+Accounts+for+Fiji+a+focus+on+Mangroves?ref=oceanaccounts.org,,,EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
196,Fiji,FJI,Oceania,Primary land,5,Fiji,61,Oceania,,Fiji,FJI,TRUE,FALSE,,,National,Environmental-Economic,Environmental assets and flows to economy; Ocean economy,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,TRUE,Yes,,TRUE,FALSE,TRUE,FALSE,,,FALSE,https://oceanaccounts.atlassian.net/wiki/spaces/WD/pages/939655169/Ocean+Accounts+for+Fiji+a+focus+on+Mangroves?ref=oceanaccounts.org,,,EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
197,Fiji,FJI,Oceania,Very small island,1,Fiji,61,Oceania,,Fiji,FJI,TRUE,FALSE,,,National,Environmental-Economic,Environmental assets and flows to economy; Ocean economy,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,TRUE,Yes,,TRUE,FALSE,TRUE,FALSE,,,FALSE,https://oceanaccounts.atlassian.net/wiki/spaces/WD/pages/939655169/Ocean+Accounts+for+Fiji+a+focus+on+Mangroves?ref=oceanaccounts.org,,,EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
198,Fiji,FJI,Oceania,Small island,2,Fiji,61,Oceania,,Fiji,FJI,TRUE,FALSE,,,National,Environmental-Economic,Environmental assets and flows to economy; Ocean economy,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,TRUE,Yes,,TRUE,FALSE,TRUE,FALSE,,,FALSE,https://oceanaccounts.atlassian.net/wiki/spaces/WD/pages/939655169/Ocean+Accounts+for+Fiji+a+focus+on+Mangroves?ref=oceanaccounts.org,,,EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
199,Finland,FIN,Europe,Small island,2,Finland,44,Europe,,Finland,FIN,FALSE,FALSE,Marine ecosystem accounting in Finland,ongoing,National,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Yes,TRUE,Yes - WFD,commercial and recreational fis provisioning + coastal cultural ES,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://www.syke.fi/en-US/Ecosystem_Accounting/Projects_and_publications,https://maiaportal.eu/factsheets,https://maiaportal.eu/media-center/presentation?&download=604,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
200,Finland,FIN,Europe,Primary land,5,Finland,44,Europe,,Finland,FIN,FALSE,FALSE,Marine ecosystem accounting in Finland,ongoing,National,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Yes,TRUE,Yes - WFD,commercial and recreational fis provisioning + coastal cultural ES,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://www.syke.fi/en-US/Ecosystem_Accounting/Projects_and_publications,https://maiaportal.eu/factsheets,https://maiaportal.eu/media-center/presentation?&download=604,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
201,Finland,FIN,Europe,Very small island,1,Finland,44,Europe,,Finland,FIN,FALSE,FALSE,Marine ecosystem accounting in Finland,ongoing,National,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Yes,TRUE,Yes - WFD,commercial and recreational fis provisioning + coastal cultural ES,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://www.syke.fi/en-US/Ecosystem_Accounting/Projects_and_publications,https://maiaportal.eu/factsheets,https://maiaportal.eu/media-center/presentation?&download=604,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
202,France,FRA,Europe,Primary land,5,France,91,Europe,,France,FRA,FALSE,FALSE,"Maritime economy - Activities with high added value and qualified jobs,Experimentation of marine ecosystems biophysical extent and condition accounts in France","20,152,023",National,"Ocean economic activity,Environmental-Economic","Ocean economy,Environmental assets",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,",Yes",TRUE,",Yes - related to MSFD",,FALSE,FALSE,TRUE,FALSE,,,FALSE,"https://www.insee.fr/fr/statistiques/4219557,https://www.chaire-comptabilite-ecologique.fr/Working-Paper-Experimentation-of-marine-ecosystems-biophysical-extent-and-331?lang=fr",",https://maiaportal.eu/factsheets",,EnvironmentalAssets + OceanEconomy,EA + OEcon,"Environmental-Economic, Ocean Economy",2,2
203,France,FRA,Europe,Very small island,1,France,91,Europe,,France,FRA,FALSE,FALSE,"Maritime economy - Activities with high added value and qualified jobs,Experimentation of marine ecosystems biophysical extent and condition accounts in France","20,152,023",National,"Ocean economic activity,Environmental-Economic","Ocean economy,Environmental assets",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,",Yes",TRUE,",Yes - related to MSFD",,FALSE,FALSE,TRUE,FALSE,,,FALSE,"https://www.insee.fr/fr/statistiques/4219557,https://www.chaire-comptabilite-ecologique.fr/Working-Paper-Experimentation-of-marine-ecosystems-biophysical-extent-and-331?lang=fr",",https://maiaportal.eu/factsheets",,EnvironmentalAssets + OceanEconomy,EA + OEcon,"Environmental-Economic, Ocean Economy",2,2
204,France,FRA,Europe,Small island,2,France,91,Europe,,France,FRA,FALSE,FALSE,"Maritime economy - Activities with high added value and qualified jobs,Experimentation of marine ecosystems biophysical extent and condition accounts in France","20,152,023",National,"Ocean economic activity,Environmental-Economic","Ocean economy,Environmental assets",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,",Yes",TRUE,",Yes - related to MSFD",,FALSE,FALSE,TRUE,FALSE,,,FALSE,"https://www.insee.fr/fr/statistiques/4219557,https://www.chaire-comptabilite-ecologique.fr/Working-Paper-Experimentation-of-marine-ecosystems-biophysical-extent-and-331?lang=fr",",https://maiaportal.eu/factsheets",,EnvironmentalAssets + OceanEconomy,EA + OEcon,"Environmental-Economic, Ocean Economy",2,2
205,French Guiana,GUF,South America,Primary land,5,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
206,French Guiana,GUF,South America,Very small island,1,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
207,French Guiana,GUF,South America,Small island,2,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
208,French Polynesia,PYF,Oceania,Small island,2,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
209,French Polynesia,PYF,Oceania,Very small island,1,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
210,French Polynesia,PYF,Oceania,Medium island,3,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
211,French Southern Territories,ATF,Africa,Very small island,1,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
212,French Southern Territories,ATF,Africa,Medium island,3,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
213,French Southern Territories,ATF,Africa,Small island,2,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
214,French Southern Territories,ATF,Africa,Small island,2,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
215,French Southern Territories,ATF,Africa,Very small island,1,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
216,Gabon,GAB,Africa,Primary land,5,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
217,Gabon,GAB,Africa,Small island,2,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
